company_name,booth,website,linkedin_url,categories,city,state,country,description,signal,personalized_first_line
Hexcel Corporation,B24,https://www.hexcel.com,https://www.linkedin.com/company/hexcel-corporation,Carbon Fiber; Prepregs; Aerospace Materials,Stamford,CT,USA,"Leading advanced composites technology company, manufacturing carbon fibers, specialty reinforcements, prepregs, honeycombs, and composite structures for aerospace, defense, and industrial applications.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Toray Composite Materials America,C12,https://www.toraycma.com,https://www.linkedin.com/company/toray-composite-materials-america,Carbon Fiber; Aerospace; Prepregs,Tacoma,WA,USA,"Manufacturer of high-performance carbon fiber and carbon fiber prepregs used in commercial aerospace, defense, and industrial applications.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Solvay Composite Materials,A10,https://www.solvay.com,https://www.linkedin.com/company/solvay-composite-materials,Epoxy Systems; Structural Adhesives; Aerospace,Alpharetta,GA,USA,"Provides advanced composite materials, structural adhesives, and surface protection solutions to aerospace OEMs and Tier 1/2 suppliers.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Owens Corning,D05,https://www.owenscorning.com,https://www.linkedin.com/company/owens-corning,Glass Fiber; Wind Energy; Transportation,Toledo,OH,USA,"Global leader in glass fiber reinforcements for composites and insulation systems, serving wind energy, transportation, and construction markets.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Composites One,F22,https://www.compositesone.com,https://www.linkedin.com/company/composites-one,Distribution; Tooling; Resins,Schaumburg,IL,USA,"North America's largest distributor of composite materials, tooling, and processing supplies, serving fabricators from wind to marine to transportation.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Henkel Aerospace,G14,https://www.henkel.com/aerospace,https://www.linkedin.com/company/henkel-aerospace,Adhesives; Sealants; Lightweighting,Bay Point,CA,USA,"Develops adhesives, sealants, and functional coatings for aerospace and automotive composite structures, focusing on lightweighting and joining technology.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Mitsubishi Chemical Carbon Fiber,E09,https://www.mccfc.com,https://www.linkedin.com/company/mitsubishi-chemical-carbon-fiber,Carbon Fiber; Automotive; Sporting Goods,Sacramento,CA,USA,"Produces Pyrofil carbon fiber and composites for aerospace, sporting goods, automotive, and general industrial applications.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Gurit,H07,https://www.gurit.com,https://www.linkedin.com/company/gurit,Core Materials; Wind Energy; Marine,Newport,RI,USA,"Swiss composite materials supplier focused on wind energy, marine, transportation, and industrial segments with core materials, prepregs, and engineering services.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Albany Engineered Composites,I03,https://www.albanyinternational.com,https://www.linkedin.com/company/albany-engineered-composites,3D Weaving; Jet Engine Components; Aerospace,Rochester,NH,USA,"Manufactures complex 3D woven and braided composite structures for jet engine fan blades, nacelles, and next-generation airframe components.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
Zoltek Companies,B31,https://www.zoltek.com,https://www.linkedin.com/company/zoltek-companies,Carbon Fiber; Wind Energy; Automotive,St. Louis,MO,USA,"Largest producer of commercial-grade carbon fiber globally; targets cost-driven markets including wind energy, automotive, and oil and gas infrastructure.","[signal extraction error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]","[generation error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.]"
